date,12QTTMCFTrend,12QTrendTTMEPS,14DayRSI,20DStochastic,3YAvgAnnEPSGrw,3YAvgAnnSalesGrw,4WChgFwd12MEPS,50DVolSig,52WSlope,5DMoneyFlowVol,60MAVGTTMEP,60MAVGTTMROA,60MAVGTTMROE,6MAvgChg1MRecC,6MChgTgtPrcGap,6MChgTgtPrcGapEMA,6MTTMSalesMom,8WChgFwd12MEPS,90DCV,AccrualRatioBS,AccrualRatioCF,Adj50DVolSig,AdjAccruals,AdjAstAdjChg1YFCF,AdjAstAdjChg3YFCF,AdjChgEPS,AdjChgEPStoSales,AdjEBITP,AdjEPSNumRevFY1C,AdjEPSNumRevFY2C,AdjFCFP,AdjIntCov,AdjInvPEGC,AdjRev3MFY1C,AdjRevMagC,Alpha12M6MPChg,Alpha36M6MPChg,Alpha60M,Amihud,AssetTurn,AstAdjChg1YCF,AstAdjChg1YEPS,AstAdjChg1YFCF,AstAdjChg1YOCF,AstAdjChg3YCF,AstAdjChg3YEPS,AstAdjChg3YFCF,AstAdjChg3YOCF,BP,BVEV,BookLev,BuyBackChg,BuyToSellRecLess3MEMA,BuyToSellRecLess3MSMA,CACL,CFAst,CFEV,CFEqt,CFIC,CFP,CFROIC,CQDOHtoSales,CQDRItoSales,CQPTTMCFtoSales,CapAcqRatio,CapExToAst,CapExToSales,CashAdjEV,CashAst,CashBurn,CashCycle,CashEV,CashP,CashRatio,CashToSales,Chg1YAmihud,Chg1YFCF,Chg1YOCF,Chg1YOPM,Chg3YAstTo,Chg3YCF,Chg3YEPS,Chg3YFCF,Chg3YOCF,Chg3YOPM,Chg4QSalesTrend,ChgATO,ChgDeprCapex,ConsQPosChgTTMEPS,ConsQPosChginTTMCF,CurLiaP,DA,DIVIDENDGROWTH,DepToCapex,DivP,DivToCF,DivperShareGrowth,EBITDAEV,EBITEstDisp,EBITMargin,EP,EPSNumRevFY1C,EPSSurpC,EPSToSalesChg1Y,ETO,EbitToAst,EbitdaToAst,EstDiffC,FCFEV,FCFEqt,FCFP,FCFSales,FY2OverFY1Growth,FinLev,FwdFCFPC,GPMargin,GrPftToAst,HL1M,IO_BreadthStabBY,IO_Concentration,IO_InvDuration,IO_Level,IO_Level_AM,IO_NAT,IO_TO,IndiDivP,IntCovRatio,InvPEGC,InvPEGYC,InvToAsset,InvToAst,InvToAstChg1Y,InvTurn,LTDA,LTDE,LTGC,LogAssets,LogMktCap,LogTTMSales,NIStab,NetProfitMargin,OCFAst,OCFEqt,OCFIC,OCFP,OCFRatio,OCFStab,OEA,OEP,OPM,PAYOUTRATIO,PAdjChg1YCF,PAdjChg1YEPS,PAdjChg1YFCF,PAdjChg1YOCF,PAdjChg1YSales,PAdjChg3YCF,PAdjChg3YEPS,PAdjChg3YFCF,PAdjChg3YOCF,PAdjChg3YSales,PM5D,PTIP,PTIToNOA,PrcTo260DL,QuickRatio,RDInt,REToAst,ROA,ROA60MSlope,ROASTAB,ROAStddev20Q,ROE,ROEStab,ROEStddev20Q,ROIC,RONA,RecTurn,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,SEV,SGAToSales,SGAToSalesChg1Y,SP,SUEC,SalesAcc,SalesToEPSChg,SalesToInvCap,ShareChg,SharpeRatio,ShortIntTrdVol,SolvencyRatio,SusGrwRate,TTMEPStoTTMSales,TTMOverheadtoSales,TTMRecInvToSales,TotalAccruals,UnexpectedInvChg,UnexpectedRecChg,VolAdjRtn12M,WCA,WCAccruals,WCTurn,WCapToAst,WCapToSales,YoYChgDA
2018-06-30,,,,,4.209699662218371e-05,-9.947891523699967e-05,,,,,,,,,,,,,,-0.00017584098209299145,,,3.2344896173720696e-05,,2.805805889470979e-05,,,,,,,,,,,,,,,-2.6220828175052018e-05,,,-0.00010224395367050814,,,,,3.500587718026966e-05,,,,,,,-9.956959246139676e-05,,,,,,4.1393085014951427e-05,,,-5.280395791260004e-05,,,,-0.0004600323484562494,-0.00038667930923874487,,,,,-0.00011556391580444236,,,,,,-0.00011794837525514464,,-4.95132976889448e-06,,-3.114075359835696e-05,,0.00012556170642501977,-0.0005901729257432936,,,-0.00013101784239641614,,,-1.3746626048319976e-05,,,,0.00010693214529356552,,,,,,7.144224366568135e-05,,,,,,,,-0.00013846345490791125,9.112106127134833e-05,,,,,8.674955113605326e-05,,,,,,,,,,,,-0.00045714864123773294,,,,,,-0.00039201061031834283,,,-0.001202441421555809,,,,-3.4731092013650995e-05,0.0003623581019863304,-0.00013759423414013837,,,,,,,,,,-9.103877336770926e-05,,,,,-1.253443066129134e-05,-1.3466053942548562e-06,-0.00015607757617265146,-8.796521774182512e-05,,-9.684374959705498e-05,,-5.007974584097386e-05,-0.00019641566532510303,-4.523281202401423e-05,,,,,,,-0.0001444410165183,,,,,,,,,,,0.00018988746490718514,,0.0010050993016870878,-0.00014589034544650547,-5.6314395403308135e-05,,-0.000790359864784216,,,,,,,,,,-0.0001399546147868059,,-0.0010729554041442229,-0.00013713182705476655,,
2018-07-31,,,,,-0.00020768171751440006,-0.00014229192820077051,,,,,,,,,,,,,,-2.4867013013470595e-05,,,-0.00013640556259113335,,-0.00021000553306189726,,,,,,,,,,,,,,,6.573423778218954e-06,,,-0.00020114663253475453,,-0.0001603172268303358,,,-0.00021571978535038982,,,,,,,-4.849123575454256e-05,,,,2.8318452637772433e-05,,-5.875055666782357e-05,-1.3792983456851808e-05,,,,,,-0.00019223532212721866,-0.00018730946127709842,,,,,-5.035680646643129e-05,,,,,,-4.671874338528027e-05,,-0.0001527577891931964,,-0.0001730625568296967,,6.785996485125284e-05,,,,4.73876281478813e-05,,,5.1819352148199e-05,,,,7.476378531115115e-05,,,,,,2.207850769000926e-05,,,,,,,0.00016795688391403547,0.0001575565995401627,1.5332398438000612e-05,,,,,-2.908746970042059e-05,,,,,,,,,,,,,,,-0.0004482632337499507,,,-4.625500117630508e-05,,,-0.00019369795848308842,,,,-4.881655268129259e-05,0.0003188432341795158,-1.3237755916693011e-07,,,,,,,,,,-0.00011679010152410288,,,,,-0.0003698253602930661,-9.820908724433848e-05,-0.00023777493974714228,-8.346843126013132e-05,,2.1231908648952843e-05,,-0.0002999056729671747,-3.225236519344112e-05,,,,,,,,,,,,,,,,,,,2.3859310072678284e-05,0.0002152506621434108,0.0002095102383644998,2.805582328023073e-05,0.0003610384720855345,,-0.00043759854859275725,,,,,,,,,,-3.777225492725884e-05,,,-3.47904195069342e-05,,
2018-08-31,,,,,2.2220200167876724e-05,0.0001442919522155292,,,,,,,,,,,,,,-0.00017078688012546817,,,7.075105950716498e-05,,0.00012528219521287703,,,,,,,,,,,,,,,0.00021746102060613915,,,0.00018626454168061335,,0.00021735004294386312,,,0.00015255791506250656,,,,,,,-2.8813409211260245e-06,,,,5.212883316883937e-05,,0.0003013601570221554,4.350386152803119e-05,,,,,,-7.354295403664646e-05,3.739776411729101e-05,,,,,-3.3508469942818626e-05,,,,,,-2.526464177501528e-05,,0.00014976452742290658,,-2.4662576847363336e-06,,0.0001548797697211328,,,,3.0503041531888447e-06,,,9.629860439859792e-05,,,,3.761358198251504e-05,,,,,,5.768291169254547e-05,,,,,,,0.001412988926238923,4.523997239540921e-06,4.903203595991495e-05,,,,,0.0003656391564439047,,,,,,,,0.000506964637285236,,,,,,,,,,,,,-7.61199794372392e-05,,,,0.0001415000905000674,0.0002940528229712449,4.1566443821808386e-06,,,,,,,,,,5.4790410560236364e-05,,,,,-8.880552123984343e-05,5.5381098111620794e-05,,0.00014444230202951435,,9.050409097336695e-05,,8.370849481518205e-06,8.611790425759704e-05,,,,,,,,,,-0.0002108631715428018,,,,,,,,,0.00025121442337427144,0.0003984117194981136,-0.0009261840045479409,0.0005584838440704489,0.00011802235836310143,,-0.00022157678711113836,,0.0007010626110179844,,,,,,,,8.94546855221305e-06,,,1.411823755734358e-05,,
2018-09-30,,,,,-4.016282263182348e-05,-2.1012326793280728e-05,,,,,,,,,,,,,,4.357317051552572e-05,,,1.8971939366406917e-05,,1.0833265349881596e-06,,,,,,,,,,,,,,,-5.9121390879935006e-05,,,-4.310875633611534e-05,,-0.00016186585415691392,-0.00017411995446657154,,-1.3860257363243722e-05,,,,,,,1.2929820275052216e-06,,,,-0.00011815228158397383,,-8.463857909127959e-05,-0.0001514410255557613,,,,,,-0.00033444808128613054,-1.5619238850517403e-06,,,,,,,,,,,1.670551169009558e-05,,-2.7076431595523466e-05,,-3.207962532806615e-05,,0.00026424529071709105,,,,-3.8278164098628134e-05,,,-0.0002467042663230377,0.0006300294837567551,,,-0.0001666618775487325,,,,,,-2.205395134380557e-05,,,,,,,0.0007418235486833714,8.899686962418173e-05,4.070373446150627e-05,,,,,-0.00017438396115736115,,,,,,,,9.902204577718356e-05,,,,,,,,,,,,,,,,,-3.125457353911946e-06,4.475278029447733e-05,2.133381214422683e-05,,,,,,,,,,-0.0002135993309119405,,,,,2.3651150196460603e-05,-7.153365685878116e-06,,-3.280888457931633e-05,,-6.414696427927692e-05,,8.654047466163426e-06,8.623039371634139e-06,,,,,,,,,,-0.0005640139174627005,,,,,,,,,0.0006539507404601174,-7.180673885109429e-05,0.001503056174843533,-6.927861996120184e-05,-0.00014316620081787596,,,,-0.0004792338239454719,,-4.788539371153106e-05,,,,,,1.8835223311522822e-06,,,-9.91612628660261e-07,,
2018-10-31,,,,,-2.265235495957377e-05,-2.8961312268412662e-05,,,,,,,,,,,,,,0.00022891708047966563,,,0.00015881741381160438,,-2.5592369747881772e-05,,,,,,,,,,,,,,,2.0653711707287804e-05,,,,,-7.177260510514614e-05,-0.000279039196473785,,3.752239893380823e-06,,,,,,,-5.6297778268852996e-05,,,,2.5444349440934975e-05,,0.00025010969472657075,-1.5050420840661325e-05,,,0.00017217208768527598,,,,-0.00020037164793355972,,,,,,,,,,,2.067305439575688e-05,,5.111274689268568e-06,,5.486569400415981e-05,,-0.0006020393491173981,,,,-2.8206811419453862e-05,,,-3.1273023352259915e-05,-0.0001316539652660169,,,-1.878297778879e-05,,,,,,-0.0003010345099894136,,,,,,,-4.924989537759906e-05,0.00040072536615512054,4.637961712600701e-05,,,-6.658850117492412e-05,,-8.546167359049553e-05,,,,,,,,0.00018536201901782608,,,,,,,,,,,,,,,,,-1.1792836966918433e-05,-0.00010854154731809117,9.518952450272254e-05,,,,,,,,,,3.179745194019554e-05,,,,,-2.470837794459989e-05,3.0617226167729064e-05,,0.000518913776768325,,-9.335062517231053e-05,,-5.835743146168036e-05,-4.7894210462742875e-05,,,,,,,,,,-2.6437873788474123e-05,,,,,,,,,-1.7045937507968037e-05,0.0006181063406068807,0.0012940578617022267,0.00014493772028096607,0.0008979214833446382,,,,-0.000994969105209378,,0.00010647540192289727,,,,,,-6.462321776836765e-05,,,-7.546807095693164e-05,,
2018-11-30,,,,,5.437545182627463e-05,2.3199487894150878e-05,,,,,,,,,,,,,,-7.066517120392348e-05,,,-1.7171694626219454e-05,,-5.052318787043338e-05,,,,,,,,,,,,,0.0021239733346880966,,-6.676856826429689e-06,,,,,,,,0.0002188012025960516,,,,,,,-8.926925593499346e-06,,,,8.729913019480424e-06,,7.471525252812976e-05,1.2767774113966842e-05,,,-0.0002883790835248366,,,,2.3730494068997616e-05,,,,,,,,,,,-4.048464545367284e-06,,8.068565435737069e-05,,0.00024115335167553486,,-0.0003916983304779994,,,,2.5074167794554365e-05,,,2.8804992423489095e-05,-0.0004153942998097457,,,6.005871719417008e-05,,,,0.0009744961953977503,,1.87534855641115e-05,,-0.0002902006237138181,,,,,-0.0005881851259046275,-0.0001562066860940853,-4.560699789563723e-05,,,-0.00011881969862231213,,2.08070622458245e-05,,,,,,,,0.000556158192087436,,,,,,,,,,,,,,,,,9.224597720825114e-06,6.620404983810716e-05,8.96853163781498e-05,,,-8.224952213030925e-06,,,,,,,-0.0005184970894558899,,,,,-9.213030123429391e-05,0.00018510504540858452,,0.00025951769359974347,,1.4374760018110988e-05,,,5.071772928356356e-05,,,,,,,,,,,,,,,,,,,-3.536129370404647e-05,1.803160432366993e-05,0.0008074830820552264,-0.0002199506015098674,0.00031264589756716123,,,,0.00014072568588494426,,0.0001390433613087477,,,,,,1.0218059338962641e-06,,,-1.1982558176638453e-05,,
2018-12-31,,,,,0.00020019026358100944,-2.27541185332618e-05,,,,,,,,,,,,-0.0010870120318540516,,0.0007037149039267628,,,-0.0001804500748823973,,0.0009963750836242814,,,,,,,,,,,,,-0.002000129927539987,,7.291619640116797e-05,,,,,,,,,,,,,,,,,,,5.663148995352573e-05,,0.00010559730643002828,2.6540088812729442e-05,,,6.806319442532747e-05,,,,0.0001337887444693384,,,,,,,,,,,0.0005247651150427038,,0.00025316062620264437,,,,-6.302590612576561e-05,,,-0.00011152737402200989,6.121064545003805e-05,,,1.5005518269404856e-05,,,,7.417101332921268e-05,,,,0.00036570095951040814,,-3.330515498120357e-05,,-0.00048754800666653053,,,,0.0003108083759238125,0.00036266093672864485,0.00011778919341719814,0.00020331002109342538,,,-0.00026527862259745686,,1.1096418669570018e-05,,,,,,,,-0.00023368045544915473,,,,1.8470700324031237e-05,,,-4.7597433011825125e-06,,,,,,,,,,9.061326480330302e-05,0.00012422583613859778,0.00043408274404219344,,,0.0005233588411141569,,,,,,,,,,,,4.4678937986895446e-05,0.00023972033638578423,7.333951383102205e-05,0.0008021266803517129,,3.539661171870069e-05,,,,,,,,,,,,1.0161033651245442e-05,,,,,,,,,,-0.0003591465593661432,0.00010782677795050121,,-2.81338180820561e-07,-0.0003375959589819435,,,,-6.422576978688791e-05,,5.2379650458510236e-05,,,,,,,,-0.00018115466856371288,1.9783628894556315e-05,,
2019-01-31,,,,,-0.00018282877592133628,-3.786665896586908e-05,,,,-0.0004534295819924119,,,,,,,,,,-0.0011023183935913287,,,-0.00037774511519870417,,-0.00039842501523172587,,,,,,,,,,,,,,,-0.00010140351641889245,,,,,,,,,,,,,,,,,,,-4.730560303116413e-05,,-0.00021669574720063403,-0.00025820282880488645,,,-0.0001817334632931066,,,,-0.0003126990296940989,,,,,,,,,,,-0.00021188735237168957,,-6.459724776636465e-05,,,,-6.171367348064783e-05,,,-5.401467222390786e-05,-0.0001693038009507931,,,-7.867746699610675e-05,,,,0.00023457539758706797,,,,8.952203906339044e-05,,-5.843744746817208e-06,,-1.3249629045614114e-05,,,,0.0001411049911526764,2.405901245498349e-05,0.0005085211546248743,-0.00022353875005627475,,,,,-0.00015070887075812898,,,,,,,,0.00017465737646525667,,,,-4.850540658223461e-05,,,0.0001089633690842803,,,-6.37490346737131e-05,,,,,,,-0.00037623530078453903,2.79516016298348e-05,-0.0005640684556672907,,,-0.00034405505366378903,,,,,,,,,,,,-0.000213113409634007,-0.00030750100003780695,-0.00029348982543897067,-0.0002955479454239717,,-0.00015014626470216392,,,,-0.00027375999783010277,,,,,,,,-0.00019664563025658877,,,,,,,,,,-2.1878490489066703e-05,-0.00015697537012790994,,-2.0095953380300097e-05,-9.67909338634171e-05,,,,9.500660594285885e-05,,-4.750662905035211e-05,,,,,,,,-0.0004085111576436708,-1.1360134993229063e-06,,
2019-02-28,,,,-0.0002832360948704449,0.0002252174051502632,,,,,-0.00020245077572604974,,,,,,,,0.00021736529273140692,,-7.094317545306668e-05,,,1.7851164009132046e-05,,0.0006426146370101435,,,,,,,,,,,,,,,2.8109602815163026e-05,,,,,,,,,,,,,,,,,,,0.00017187747957517644,,4.300214082607194e-05,,,,0.00015017223983138385,,,-4.11287708151758e-05,7.763806685434632e-05,,,,,,,,,,,-0.0002658039002900648,,0.00012553116170840325,,,,,,,9.640915745469233e-05,-0.00027795896222584796,,,0.00024307336790381498,,,,0.000289750716471973,,,,-0.0010086544087682776,,8.580312325321401e-05,,1.9961627534080192e-05,,,,7.179976083420886e-05,0.0002453291384702522,0.00014524137919938617,0.00012315551093680503,,,,,8.836984872545855e-05,,,,,,,,0.0004325226291551421,,,,-0.00022430893836492325,,,0.0005256768069278151,,,0.00018879856435369353,,,,,,,4.321749976139145e-05,0.0003600482537219264,5.2998087828487196e-05,,,,,-0.0004843368845419835,,,,,,,,,1.625755810060667e-05,5.4286960051106974e-05,0.000296727152979478,4.3607204957443186e-05,-0.0003103560044766577,,0.00029665268199901385,,,,,,,,,,,,9.734644016741878e-05,,,,,,,,,,8.558330361710103e-05,8.41992294799017e-06,,2.0818100953219803e-05,-5.3141195845626085e-05,,,,0.00021142251719184944,,4.449811856880844e-06,,,,,,,,-0.00012485456737948062,-1.5899515641627126e-05,,
2019-03-31,,,,-0.0003684319503550049,5.964180841384017e-05,,0.00012440858849270794,,,4.757222899392933e-05,,,,,,,,0.0008490173157339117,,0.00011319363178298892,,,-5.819475391162875e-05,,4.141495530335495e-05,,,,,,,,,,,,,,,3.0558467779993005e-05,,,,,0.00016291260031290364,0.00024559309736435465,,,,,,,,,,,,,8.352581962283145e-05,,7.52367641471086e-05,,,,0.00030110415270882346,,,-0.0008199870879595926,-0.0001590082476727918,,,,,,,,,,,,,0.00017261882457884775,,,,,,,-3.78518644855638e-05,4.713173780455492e-05,,,6.995206206692659e-05,,,,0.0002103205045624983,,,,-0.000257177423997332,,9.233519549597323e-05,,5.558731110355476e-05,,,,-0.0003395670665738238,-4.847270231746451e-06,-0.00021749091431612523,0.00025950364860801925,,,,,9.913336229301343e-05,,,,,,,,0.00020210568338674818,,,,-2.1447162950945868e-05,,,-0.00015400373067517832,,,0.00018163649257444732,,,,,,,0.00021293853304865613,-4.889008147130106e-07,7.404720208761629e-07,,,,0.00020064756890438617,,,,,,,,,,9.29680395143086e-05,7.4883398957128e-05,3.305883122547815e-05,-2.0012292100553822e-05,0.00024255056945236866,,0.00010088584052787127,,,,,,,,,,,,8.299461031211921e-05,,,,,,,,,,4.517238030270363e-05,-8.409223804662896e-06,,1.0914627805898015e-05,,,,,-5.214819516716969e-05,,3.8349100294618986e-05,,,,,,,,,0.00011884074845356431,,
