date,book_gross_before,target_gross,multiplier,long_exposure,short_exposure,gross_return,cost,tax,net_return,turnover_oneway,bm_capped_names
2018-06-30,0.8479491933768126,0.4,0.4717263759719712,0.2,-0.2,-0.0028757303142198567,0.0,0.0,-0.0028757303142198567,0.0,0
2018-07-31,0.9815868803593661,0.4,0.4075034090243312,0.19999999999999998,-0.2,-0.000927448133061987,0.00025996910305391477,0.00010553574016700692,-0.0012929529762829087,0.12998455152695737,0
2018-08-31,0.9806647290556832,0.4,0.4078865978846554,0.2,-0.2,0.0023064838485356235,0.00022494979348199778,7.308423583158814e-05,0.0020084498192220377,0.11247489674099889,0
2018-09-30,0.9379439003514876,0.4,0.42646473829629145,0.19999999999999996,-0.19999999999999998,0.0005240174769708398,0.00023923188447849247,7.659497339731157e-05,0.00020819061909503573,0.11961594223924624,0
2018-10-31,0.9565077317010975,0.4,0.41818794218068844,0.2,-0.20000000000000004,0.0004669774412827017,0.0001907428763004474,8.439708058449174e-05,0.00019183748439776258,0.0953714381502237,0
2018-11-30,0.8678084924237581,0.4,0.4609311887266905,0.2,-0.2,0.0020350910516661143,0.0002356650435348106,6.361416555090064e-05,0.0017358118425804029,0.1178325217674053,0
2018-12-31,0.85980800102384,0.4,0.4652201416173018,0.2,-0.2,0.001021059678471325,0.0003297255938823107,0.00015472289234615754,0.0005366111922428569,0.16486279694115533,0
2019-01-31,0.8685487742983589,0.4,0.46053832765250596,0.2,-0.2,-0.003559469914883929,0.00020794547812587257,5.8810295599402216e-05,-0.0038262256886092035,0.10397273906293628,0
2019-02-28,0.8347852871742617,0.4,0.47916512922022775,0.2,-0.2,0.0015159144742828647,0.00030034808444004077,0.00010104619782282921,0.0011145201920199947,0.15017404222002037,0
2019-03-31,0.8571297186069806,0.4,0.46667381997918084,0.19999999999999996,-0.2,0.000965241649137042,0.00032953469688957034,0.00012048409369537827,0.0005152228585520933,0.16476734844478516,0
2019-04-30,0.9061847468575741,0.4,0.4414110934741527,0.2,-0.2,0.003122804476838497,0.0002703135008099167,9.637939092919465e-05,0.0027561115850993855,0.13515675040495834,0
2019-05-31,0.9732524881955896,0.4,0.41099304122160546,0.20000000000000004,-0.20000000000000007,0.0018087676689028335,0.0002523393493811785,7.163658623187476e-05,0.00148479173328978,0.12616967469058926,0
2019-06-30,0.9207584180879431,0.4,0.4344244832761283,0.2,-0.2,0.0008694797536886798,0.00027951100865198454,9.184140678958313e-05,0.0004981273382471122,0.13975550432599226,0
2019-07-31,0.9113408109108867,0.4,0.4389137359054505,0.2,-0.2,0.0018142923986738588,0.00021609513251651298,7.277327997639887e-05,0.001525423986180947,0.10804756625825648,0
2019-08-31,0.8867907839790062,0.4,0.451064678644055,0.2,-0.20000000000000004,0.001152256635616737,0.00024117875718282554,9.842496855093977e-05,0.0008126529098829716,0.12058937859141276,0
2019-09-30,0.9102351657266199,0.4,0.43944687599570953,0.2,-0.2,0.0003835154485554781,0.00030543021573879335,6.742279263560607e-05,1.066244018107868e-05,0.15271510786939668,0
2019-10-31,0.9887222054025725,0.4,0.4045625736069458,0.2,-0.2,-0.002162460827791382,0.0002547472572477275,7.289534560577983e-05,-0.0024901034306448896,0.12737362862386375,0
2019-11-30,0.9443242295769418,0.4,0.4235833281321188,0.2,-0.20000000000000007,0.0018330512591107268,0.0003298681113423315,0.00012446975428264396,0.0013787133934857513,0.16493405567116573,0
2019-12-31,0.942268582675553,0.4,0.4245074147163094,0.2,-0.2,-0.00017698037538605165,0.00037641968578432485,0.00010956792411158245,-0.000662967985281959,0.18820984289216242,0
2020-01-31,0.9584247470787184,0.4,0.4173514939166599,0.2,-0.2,2.3291917125673112e-05,0.0002846004497134325,8.391565419636024e-05,-0.0003452241867841196,0.14230022485671623,0
2020-02-29,0.8525453412307722,0.4,0.4691832570717498,0.2,-0.2,0.0002254169662994107,0.00029962038778271876,9.531432781210324e-05,-0.0001695177492954113,0.14981019389135938,0
2020-03-31,0.8770445335258825,0.4,0.4560771827536801,0.2,-0.20000000000000004,0.009390592211539529,0.0002998729718200519,8.878768631192094e-05,0.009001931553407557,0.14993648591002595,0
2020-04-30,0.9147214646030717,0.4,0.4372915859950585,0.19999999999999996,-0.19999999999999998,0.003518252206693931,0.0002719531184978867,9.434889147486912e-05,0.0031519501967211755,0.13597655924894336,0
2020-05-31,0.9228497195666046,0.4,0.43344001901831963,0.2,-0.2,0.0038540678926488555,0.00023215978777705744,8.968610122293458e-05,0.0035322220036488636,0.11607989388852871,0
2020-06-30,0.8777529565868617,0.4,0.4557090887570441,0.19999999999999998,-0.20000000000000004,-0.0004971129496259022,0.00032263863718297835,0.00010045052202472774,-0.0009202021088336083,0.16131931859148918,0
2020-07-31,0.9141248945270826,0.4,0.4375769683057782,0.2,-0.2,0.007154065264793879,0.00021598150608089832,6.347352051042956e-05,0.006874610238202551,0.10799075304044915,0
2020-08-31,0.9840797513723794,0.4,0.4064711213112224,0.2,-0.19999999999999998,-0.003274606014846947,0.00025261849631294585,7.609957580494832e-05,-0.0036033240869648413,0.12630924815647293,0
2020-09-30,0.950566781366103,0.4,0.4208015763239083,0.20000000000000004,-0.20000000000000007,0.00256253782489642,0.00032131312054531596,8.629577241915443e-05,0.0021549289319319495,0.16065656027265798,0
2020-10-31,0.9692362188709119,0.4,0.4126960922549616,0.20000000000000004,-0.20000000000000007,-0.00046532262275775444,0.0001807801777758018,6.783678962841209e-05,-0.0007139395901619684,0.0903900888879009,0
2020-11-30,0.9877966032983703,0.4,0.4049416637639292,0.2,-0.2,-0.007907167207254932,0.00027121770984652084,0.00010335080355685343,-0.008281735720658306,0.1356088549232604,0
2020-12-31,1.0227620832026845,0.4,0.39109779935079053,0.19999999999999998,-0.2,-0.0001252648636477624,0.000506535954779386,0.00021915269356193075,-0.0008509535119890792,0.253267977389693,0
2021-01-31,0.9875620955232942,0.4,0.40503782173620795,0.19999999999999998,-0.19999999999999998,8.502968339669115e-05,0.0002485028946876718,7.289484742772489e-05,-0.00023636805871870555,0.12425144734383592,0
2021-02-28,1.0183934446905272,0.4,0.3927755054644459,0.20000000000000004,-0.20000000000000007,-0.0008831356177434299,0.0002964815121606458,5.368015212675901e-05,-0.0012332972820308348,0.1482407560803229,0
2021-03-31,1.0073132728159149,0.4,0.3970959291361382,0.2,-0.2,0.0020334866839528884,0.0003771762687922594,0.00011179979524997865,0.0015445106199106504,0.1885881343961297,0
2021-04-30,1.0045930153915918,0.4,0.39817119357940134,0.2,-0.2,0.0024603384267777037,0.0003393606091469243,0.00011477266141179119,0.0020062051562189883,0.16968030457346214,0
2021-05-31,0.9301828073811104,0.4,0.43002299851809,0.2,-0.2,0.0021128280326007574,0.0002663680331018563,6.52030168597463e-05,0.0017812569826391549,0.13318401655092812,0
2021-06-30,0.8953372935134412,0.4,0.4467590067988105,0.2,-0.2,0.0016870921455634648,0.0004062714410914877,0.00011838129726800892,0.0011624394072039682,0.20313572054574386,0
