date,bm,model_usd,model_local,realized_usd,realized_local,prev_seg_usd
2026-09-01,-0.00692,0.000923,0.000962,0.000902,0.000918,0.000902
2026-09-02,-0.004658,0.001439,0.001451,0.001054,0.00103,0.001054
2026-09-03,0.007021,0.001934,0.001863,0.001291,0.001163,0.001291
2026-09-04,0.004266,0.002355,0.00232,0.001723,0.001624,0.001291
2026-09-07,0.005891,0.002318,0.002246,0.001672,0.00154,0.001291
2026-09-08,0.000112,0.002447,0.002363,0.001802,0.001661,0.001291
2026-09-09,-0.005426,0.002824,0.002718,0.002168,0.00201,0.001291
2026-09-10,-0.011889,0.002891,0.002815,0.002259,0.002123,0.001291
2026-09-11,-0.005508,0.003409,0.00333,0.002754,0.002622,0.001291
2026-09-14,-0.010923,0.003243,0.003185,0.002592,0.002482,0.001291
2026-09-15,-0.015411,0.003057,0.003028,0.002416,0.002325,0.001291
2026-09-16,-0.017574,0.003573,0.00356,0.002929,0.002853,0.001291
2026-09-17,-0.008314,0.004068,0.004133,0.003416,0.003418,0.001291
2026-09-18,-0.009942,0.003424,0.003492,0.002824,0.002821,0.001291
